prefecture,date,city,location,city_cleaned,location_cleaned,longitude,latitude,longitude_cleaned,latitude_cleaned
静岡県,2024-06-05,御殿場市,中畑,御殿場市,中畑,138.852234,35.331066,138.852234,35.331066
静岡県,2024-06-05,小山町,湯船,小山町,湯船,138.965775,35.380074,,
山梨県,2024-06-05,身延町,和田,身延町,和田,138.452972,35.348892,,
山梨県,2024-06-05,南部町,福士鯨野,南部町,福士鯨野,,,,
山梨県,2024-06-05,韮崎市,清哲町青木,韮崎市,清哲町青木,138.377213,35.712566,138.377213,35.712566
山梨県,2024-06-05,早川町,保地内,早川町,保地内,,,,
静岡県,2024-06-06,静岡市葵区,平野,静岡市葵区,平野,138.373322,35.151382,138.373322,35.151382
山梨県,2024-06-06,早川町,保地区,早川町,保地区,,,,
山梨県,2024-06-06,富士吉田市,上吉田諏訪内,富士吉田市,上吉田諏訪内,,,,
山梨県,2024-06-06,小菅村,川池,小菅村,川池,,,,
神奈川県,2024-06-06,伊勢原市,三ノ塔,伊勢原市,三ノ塔,,,,
山梨県,2024-06-07,早川町,保地内,早川町,保地内,,,,
静岡県,2024-06-07,川根本町,犬間,川根本町,犬間,138.177155,35.209225,,
山梨県,2024-06-07,都留市,十日市場,都留市,十日市場,138.885284,35.535366,138.885284,35.535366
静岡県,2024-06-08,静岡市葵区,梅ケ島,静岡市葵区,梅ケ島,138.325928,35.278023,138.325928,35.278023
静岡県,2024-06-08,静岡市清水区,伊佐布,静岡市清水区,伊佐布,138.451874,35.070965,138.451874,35.070965
静岡県,2024-06-08,静岡市駿河区,丸子,静岡市駿河区,丸子,138.328186,34.940491,138.328186,34.940491
山梨県,2024-06-08,身延町,和田,身延町,和田,138.452972,35.348892,,
山梨県,2024-06-08,上野原市,棡原,上野原市,棡原,139.085815,35.672298,139.085815,35.672298
山梨県,2024-06-08,笛吹市,御坂町藤木,笛吹市,御坂町藤木,,,,
静岡県,2024-06-08,川根本町,壱町河内,川根本町,壱町河内,138.126007,35.043808,,
神奈川県,2024-06-08,厚木市,七沢,厚木市,七沢,139.266006,35.448963,139.266006,35.448963
山梨県,2024-06-09,小菅村,小永田地区,小菅村,小永田地区,,,,
山梨県,2024-06-09,笛吹市,境川町藤垈,笛吹市,境川町藤垈,138.61673,35.580376,138.61673,35.580376
山梨県,2024-06-09,早川町,保地内,早川町,保地内,,,,
静岡県,2024-06-09,小山町,棚頭,小山町,棚頭,138.942032,35.355148,,
静岡県,2024-06-09,浜松市天竜区,水窪町奥領家,浜松市天竜区,水窪町奥領家,137.900558,35.228153,137.900558,35.228153
神奈川県,2024-06-09,伊勢原市,大山,伊勢原市,大山,139.246063,35.42717,139.246063,35.42717
山梨県,2024-06-10,小菅村,棚沢地区,小菅村,棚沢地区,,,,
山梨県,2024-06-10,忍野村,忍草,忍野村,忍草,138.828659,35.458664,,
山梨県,2024-06-10,大月市,初狩町中初狩,大月市,初狩町中初狩,138.869797,35.597382,138.869797,35.597382
山梨県,2024-06-10,都留市,平栗,都留市,平栗,138.888962,35.5546,138.888962,35.5546
