prefecture,date,city,location,longitude,latitude
山梨県,2024-06-10,都留市,平栗,138.888962,35.5546
静岡県,2024-06-10,静岡市葵区,梅ケ島,138.325928,35.278023
静岡県,2024-06-10,静岡市葵区,梅ケ島,138.325928,35.278023
山梨県,2024-06-10,身延町,和田,138.452972,35.348892
静岡県,2024-06-11,小山町,大御神,138.900375,35.375614
神奈川県,2024-06-11,,,,
山梨県,2024-06-11,早川町,保地内,138.296951,35.43084
山梨県,2024-06-11,都留市,大幡・初狩,138.839966,35.565659
山梨県,2024-06-11,南部町,塩沢地区,138.439636,35.273815
山梨県,2024-06-11,大月市,笹子町黒野田,138.798981,35.597111
山梨県,2024-06-11,早川町,奈良田,138.276611,35.603207
静岡県,2024-06-11,静岡市葵区,梅ケ島,138.325928,35.278023
山梨県,2024-06-12,北杜市,須玉町江草,138.504684,35.811039
神奈川県,2024-06-12,相模原市,緑区牧野,139.164047,35.571507
神奈川県,2024-06-12,清川村,煤ケ谷,139.262299,35.484276
静岡県,2024-06-12,浜松市天竜区,水窪町奥領家,137.900558,35.228153
山梨県,2024-06-12,山中湖村,山中,138.847412,35.427853
山梨県,2024-06-12,富士河口湖町,河口,138.779053,35.543289
静岡県,2024-06-12,静岡市葵区,平野,138.373322,35.151382
山梨県,2024-06-12,北杜市,白州町白須,138.267776,35.79528
山梨県,2024-06-12,笛吹市,御坂町藤木,138.773087,35.581715
山梨県,2024-06-13,大月市,真木,138.940002,35.610554
山梨県,2024-06-13,富士吉田市,上暮地,138.827469,35.508064
静岡県,2024-06-13,富士宮市,人穴,138.629196,35.363747
静岡県,2024-06-13,静岡市清水区,大平,138.421783,35.173763
神奈川県,2024-06-14,相模原市,緑区牧野,139.164047,35.571507
山梨県,2024-06-14,山梨市,三富川浦,138.781586,35.847103
静岡県,2024-06-14,富士宮市,人穴,138.629196,35.363747
山梨県,2024-06-14,笛吹市,八代町竹居,138.675507,35.585686
山梨県,2024-06-14,富士河口湖町,大石,138.722153,35.532024
山梨県,2024-06-14,甲府市,古関,138.620758,35.525299
静岡県,2024-06-15,小山町,大御神,138.900375,35.375614
神奈川県,2024-06-15,愛川町,半原,139.264832,35.529568
神奈川県,2024-06-16,秦野市,寺山,139.217407,35.421936
静岡県,2024-06-16,富士宮市,猪之頭,138.555908,35.367573
静岡県,2024-06-16,富士宮市,佐折,138.552734,35.325047
静岡県,2024-06-16,御殿場市,仁杉,138.906799,35.325901
山梨県,2024-06-16,富士河口湖町,大石,138.722153,35.532024
山梨県,2024-06-16,富士河口湖町,大石,138.722153,35.532024
山梨県,2024-06-16,富士河口湖町,大石,138.722153,35.532024
山梨県,2024-06-16,市川三郷町,山保,138.509537,35.52877
静岡県,2024-06-17,裾野市,富沢,138.880737,35.179779
山梨県,2024-06-17,富士河口湖町,河口,138.779053,35.543289
神奈川県,2024-06-17,山北町,皆瀬川,139.063675,35.37212
山梨県,2024-06-17,早川町,保地区,138.296951,35.43084
